name,iso_country,municipality,iata_code
Crawford Airport,US,Santa Ynez,
Shepherd Ranch Airport,US,Santa Ynez,
Hoffman Private Airport,US,Santa Ysabel,
Emory Ranch Airport,US,Ocotillo,
Boeing Seal Beach (Rooftop) Heliport,US,Seal Beach,
Ward Ranch Airport,US,Aguanga,
Blech Ranch Airport,US,Shandon,
Delta County Memorial Hospital Heliport,US,Delta,
Colorado Plains Medical Center Heliport,US,Fort Morgan,
Foxx Valley Airport,US,Yoder,
Branch's Heliport,US,Kersey,
Kauffman Heliport,US,Denver,
Pinon Canyon Airport,US,Trinidad,
Exempla Good Samaritan Heliport,US,Lafayette,
Fox Hole Airport,US,Lafayette,
Prowers Medical Center Heliport,US,Lamar,
Swedish S.W. Medical Heliport,US,Littleton,
Yosemite Hidden Lake Ranch Airport,US,Raymond,
Krey Field Airport,US,Adelanto,
Parking Lot Heliport,US,Chula Vista,
John Nichol's Field Airport,US,Chula Vista,
Glen Fed Heliport,US,Glendale,
The Atrium Heliport,US,Irvine,
Bohunk's Airpark,US,Lancaster,
Good Samaritan Hospital Heliport,US,Los Angeles,
Tera Ultralightport,US,Ridgecrest,
Sce San Jacinto Valley Service Center Heliport,US,Romoland,
Fiorini Ranch Airport,US,Delhi,
Sutter Butte Dusters Airport,US,Live Oak,
Longmont United Hospital Heliport,US,Longmont,
Dave's Airport,US,Louisville,
Crested Butte Airpark,US,Crested Butte,CSE
Greggs Nr 1 Airport,US,Bennett,
Geo-Seis Helicopters Heliport,US,Fort Collins,
